Month,2018,2019
Jan,60,58
Feb,52,48
Mar,50,48
Apr,50,45
May,46,42
Jun,49,45
Jul,50,44
Aug,44,40
Sep,44,40
Oct,43,42
Nov,44,43
Dec,42,39
